,HYBAS_ID,valid_time_0,t2m_0,t2m_0_binned,si10_0,si10_0_binned,sde_0,sde_0_binned,valid_time_3,prate_3,prate_3_binned,t2m_3,t2m_3_binned,si10_3,si10_3_binned,sde_3,sde_3_binned,valid_time_6,prate_6,prate_6_binned,t2m_6,t2m_6_binned,si10_6,si10_6_binned,sde_6,sde_6_binned,valid_time_9,prate_9,prate_9_binned,t2m_9,t2m_9_binned,si10_9,si10_9_binned,sde_9,sde_9_binned,valid_time_12,prate_12,prate_12_binned,t2m_12,t2m_12_binned,si10_12,si10_12_binned,sde_12,sde_12_binned,valid_time_15,prate_15,prate_15_binned,t2m_15,t2m_15_binned,si10_15,si10_15_binned,sde_15,sde_15_binned,valid_time_18,prate_18,prate_18_binned,t2m_18,t2m_18_binned,si10_18,si10_18_binned,sde_18,sde_18_binned,valid_time_21,prate_21,prate_21_binned,t2m_21,t2m_21_binned,si10_21,si10_21_binned,sde_21,sde_21_binned,valid_time_24,prate_24,prate_24_binned,t2m_24,t2m_24_binned,si10_24,si10_24_binned,sde_24,sde_24_binned,valid_time_36,prate_36,prate_36_binned,t2m_36,t2m_36_binned,si10_36,si10_36_binned,sde_36,sde_36_binned,valid_time_48,prate_48,prate_48_binned,t2m_48,t2m_48_binned,si10_48,si10_48_binned,sde_48,sde_48_binned,valid_time_60,prate_60,prate_60_binned,t2m_60,t2m_60_binned,si10_60,si10_60_binned,sde_60,sde_60_binned,valid_time_72,prate_72,prate_72_binned,t2m_72,t2m_72_binned,si10_72,si10_72_binned,sde_72,sde_72_binned,valid_time_120,prate_120,prate_120_binned,t2m_120,t2m_120_binned,si10_120,si10_120_binned,sde_120,sde_120_binned,valid_time_168,prate_168,prate_168_binned,t2m_168,t2m_168_binned,si10_168,si10_168_binned,sde_168,sde_168_binned,valid_time_240,prate_240,prate_240_binned,t2m_240,t2m_240_binned,si10_240,si10_240_binned,sde_240,sde_240_binned
0,2070071190,2022-10-09 12:00:00,34.350561000000006,30 to 35 C,4.234944166666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,28.028747999999997,25 to 30 C,2.3344718666666666,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,22.771347000000002,20 to 25 C,1.60246956,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,19.3731485,15 to 20 C,2.05126185,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,18.371856833333332,15 to 20 C,2.220011766666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,20.403625333333334,15 to 20 C,1.8605027333333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,32.361582,30 to 35 C,0.9439769433333334,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,36.801682500000005,> 35 C,2.148485566666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.50005066666667,30 to 35 C,3.2286024333333336,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,16.22588633333333,10 to 15 C,1.9184010999999999,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,32.024643,30 to 35 C,3.560528983333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,15.487869416666667,10 to 15 C,1.9758542666666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.4665175,25 to 30 C,2.8052170333333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.18040966666667,30 to 35 C,3.6768648833333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.947423,25 to 30 C,3.5676590166666666,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.260885000000002,25 to 30 C,3.7854375,.1 to 5 m/s,0.0,0 to .1 m
1,2070071260,2022-10-09 12:00:00,35.28746257142857,30 to 35 C,2.744467828571429,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,27.366237428571427,25 to 30 C,1.7154242285714287,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,21.571345714285712,20 to 25 C,1.1096124085714285,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,17.974931857142856,15 to 20 C,1.2584047214285714,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,15.862932714285714,15 to 20 C,1.2176308371428572,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,17.325657142857143,15 to 20 C,1.1950265428571427,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,30.57943685714286,30 to 35 C,1.059453137142857,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,37.18561742857143,> 35 C,0.7526522299999999,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,35.33517,30 to 35 C,1.9536024428571428,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,14.460414571428572,15 to 20 C,1.3731630285714285,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.626425714285716,30 to 35 C,2.5593385,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,13.385484857142856,10 to 15 C,1.1508542328571427,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.28676057142857,30 to 35 C,1.9266456,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.625649857142854,30 to 35 C,2.5232934142857144,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.742060857142857,25 to 30 C,2.643849471428571,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.387682285714284,25 to 30 C,2.5449612571428575,.1 to 5 m/s,0.0,0 to .1 m
2,2070071270,2022-10-09 12:00:00,31.42555733333333,30 to 35 C,3.0182774,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,25.83290633333333,25 to 30 C,0.9178051766666666,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,22.846344,20 to 25 C,1.9024695666666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,20.452310999999998,20 to 25 C,1.4345951999999997,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,18.142700333333334,15 to 20 C,2.4533450333333335,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,19.566131333333335,20 to 25 C,2.468836066666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,30.778248666666666,25 to 30 C,1.5356436666666669,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,35.364187333333334,30 to 35 C,1.9443189,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.004221333333334,25 to 30 C,2.9536024666666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,17.559214666666666,15 to 20 C,2.1184011,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.34546933333333,25 to 30 C,2.902195666666666,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,16.046203833333333,15 to 20 C,1.8175209333333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.433186333333328,25 to 30 C,3.0552171,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.447072333333335,25 to 30 C,2.8685314666666666,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,28.401590666666664,25 to 30 C,2.950992266666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,27.998393000000004,25 to 30 C,3.335437433333333,.1 to 5 m/s,0.0,0 to .1 m
3,2070071330,2022-10-09 12:00:00,32.933894,30 to 35 C,4.051610766666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,24.74957333333333,25 to 30 C,0.6011385266666666,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,20.942184333333334,20 to 25 C,1.7774694833333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,18.314819166666666,20 to 25 C,1.2512618833333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,15.796864999999999,15 to 20 C,1.9533451166666669,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,17.720296,15 to 20 C,2.2771694,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,32.04907766666667,30 to 35 C,2.0523103,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,37.60169,> 35 C,1.3818188883333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.47922233333333,30 to 35 C,3.7286024166666665,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,14.825892333333334,15 to 20 C,1.7767344166666668,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.941304666666667,25 to 30 C,3.4271955999999997,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,13.783701749999999,15 to 20 C,1.6675208666666668,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.8248545,25 to 30 C,3.5885503499999998,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,32.017908999999996,30 to 35 C,3.5351981,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.576588666666666,25 to 30 C,3.3093255999999998,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.202570499999997,25 to 30 C,3.30210405,.1 to 5 m/s,0.0,0 to .1 m
4,2070071340,2022-10-09 12:00:00,32.72556566666667,30 to 35 C,4.1516108,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,24.98291066666667,20 to 25 C,0.367805188,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,21.32968133333333,20 to 25 C,1.7691362000000002,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,18.89398233333333,15 to 20 C,1.4345951666666668,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,16.834360666666665,15 to 20 C,2.220011733333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,18.716125333333334,15 to 20 C,2.368836066666667,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,32.12824533333333,30 to 35 C,1.0689769533333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,36.10584666666667,> 35 C,3.235985533333334,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,32.395884,30 to 35 C,4.286935633333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,15.800893333333333,15 to 20 C,1.9517345,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.92881266666667,30 to 35 C,3.568862333333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,15.112864333333333,15 to 20 C,1.8008542333333335,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.158182999999998,30 to 35 C,3.8885503999999997,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.213745666666664,30 to 35 C,3.6351982666666665,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.493255333333334,25 to 30 C,3.6843257,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.090067666666666,25 to 30 C,3.6687707333333335,.1 to 5 m/s,0.0,0 to .1 m
5,2070071370,2022-10-09 12:00:00,34.71274046153846,> 35 C,3.3362261230769232,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,24.53739361538462,20 to 25 C,1.2434462046153847,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,20.27326846153846,15 to 20 C,1.717854123076923,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,17.716418923076922,15 to 20 C,1.785877276923077,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,15.503587076923075,10 to 15 C,1.8687297153846152,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,16.853949692307694,10 to 15 C,2.3867847846153847,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,31.425043692307693,30 to 35 C,2.5600025923076926,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,36.15072676923077,> 35 C,1.4391906907692307,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,34.18819230769231,> 35 C,2.9959101692307692,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,14.073326923076923,10 to 15 C,1.7440421307692306,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.07752646153846,30 to 35 C,3.356041769230769,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,14.217355692307693,10 to 15 C,1.7854696615384615,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,32.96972407692307,30 to 35 C,2.712909378461539,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.52977123076923,30 to 35 C,3.763403330769231,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.609921846153846,30 to 35 C,3.7932999769230773,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.140704615384614,30 to 35 C,3.7982579,.1 to 5 m/s,0.0,0 to .1 m
6,2070071380,2022-10-09 12:00:00,34.501752857142854,30 to 35 C,4.830182242857142,5 to 10 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,26.169813142857144,25 to 30 C,2.036852832142857,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,22.489201142857144,20 to 25 C,1.7667552285714285,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,19.85351142857143,20 to 25 C,1.5512618857142857,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,17.92007442857143,20 to 25 C,1.9890594000000001,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,19.27208142857143,20 to 25 C,2.5521693857142855,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,33.243722,30 to 35 C,2.5094531285714288,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,36.44990385714286,30 to 35 C,2.7240808,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,32.49945485714286,25 to 30 C,5.025031057142857,5 to 10 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,16.388986,15 to 20 C,1.9660201428571429,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.758571142857143,25 to 30 C,4.352195557142857,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,15.906912714285713,15 to 20 C,1.6937113857142858,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.697474857142858,25 to 30 C,4.619502714285715,5 to 10 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.254220285714286,25 to 30 C,3.8232933571428567,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,28.94920114285714,25 to 30 C,4.243849528571428,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,28.684112142857145,25 to 30 C,4.230675514285714,.1 to 5 m/s,0.0,0 to .1 m
7,2070071490,2022-10-09 12:00:00,36.27223106666666,> 35 C,2.5882773733333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,25.241241733333332,25 to 30 C,1.237805184,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,20.37135,15 to 20 C,1.8258028933333332,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,17.020650133333334,15 to 20 C,1.9579285533333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,14.8860252,10 to 15 C,2.3333451333333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,16.7677996,15 to 20 C,3.2855027333333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,32.4165776,30 to 35 C,5.188976893333334,5 to 10 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,37.065861266666666,> 35 C,2.6109855333333334,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,35.79421373333333,> 35 C,2.1402691333333332,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,14.070896533333332,10 to 15 C,2.4784011333333336,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,35.0421408,> 35 C,2.3621956293333333,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,14.012866166666667,10 to 15 C,1.99418758,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,35.6881898,> 35 C,2.255217042,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.047074466666665,> 35 C,3.7885314866666664,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,32.684920399999996,> 35 C,4.48765886,.1 to 5 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.886728933333334,30 to 35 C,4.038770773333334,.1 to 5 m/s,0.0,0 to .1 m
8,2070071500,2022-10-09 12:00:00,35.3338925,> 35 C,5.6266108,5 to 10 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,25.6162415,25 to 30 C,2.9761386,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,21.32135,20 to 25 C,3.0274695,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,17.7606505,15 to 20 C,2.5512618,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,14.959366,15 to 20 C,2.4283451,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,16.457794,15 to 20 C,3.8521694,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,31.924087,30 to 35 C,5.0523102,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,37.601699999999994,> 35 C,1.5151522,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,34.470886,30 to 35 C,5.0036025,5 to 10 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,13.905059999999999,10 to 15 C,2.45173445,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.97464,30 to 35 C,5.2271958,5 to 10 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,13.12120075,10 to 15 C,1.8008543,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,36.133193500000004,> 35 C,2.15521705,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,30.5970765,30 to 35 C,4.75186465,.1 to 5 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.534927,25 to 30 C,6.30099215,5 to 10 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,29.2234035,25 to 30 C,5.2771041499999995,5 to 10 m/s,0.0,0 to .1 m
9,2070071530,2022-10-09 12:00:00,37.190709999999996,> 35 C,3.4970653181818183,5 to 10 m/s,0.0,0 to .1 m,2022-10-09 15:00:00,0.0,0 to .0001 kg m-2 sec-1,25.845789454545454,25 to 30 C,1.9284112363636365,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 18:00:00,0.0,0 to .0001 kg m-2 sec-1,20.782712,20 to 25 C,2.1933786181818182,.1 to 5 m/s,0.0,0 to .1 m,2022-10-09 21:00:00,0.0,0 to .0001 kg m-2 sec-1,17.408380636363635,15 to 20 C,1.5148982181818182,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10,0.0,0 to .0001 kg m-2 sec-1,14.863902863636362,10 to 15 C,1.31698152,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 03:00:00,0.0,0 to .0001 kg m-2 sec-1,15.950980181818181,15 to 20 C,2.2067148363636364,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 06:00:00,0.0,0 to .0001 kg m-2 sec-1,31.622941454545455,30 to 35 C,4.452310236363636,5 to 10 m/s,0.0,0 to .1 m,2022-10-10 09:00:00,0.0,0 to .0001 kg m-2 sec-1,38.23464472727273,> 35 C,2.193561318181818,.1 to 5 m/s,0.0,0 to .1 m,2022-10-10 12:00:00,0.0,0 to .0001 kg m-2 sec-1,37.550428727272724,> 35 C,2.0581479227272728,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11,0.0,0 to .0001 kg m-2 sec-1,14.315285636363637,10 to 15 C,1.2835526236363637,.1 to 5 m/s,0.0,0 to .1 m,2022-10-11 12:00:00,0.0,0 to .0001 kg m-2 sec-1,35.52805672727273,30 to 35 C,3.4612865090909093,5 to 10 m/s,0.0,0 to .1 m,2022-10-12,0.0,0 to .0001 kg m-2 sec-1,13.289384454545456,10 to 15 C,1.0735814918181819,.1 to 5 m/s,0.0,0 to .1 m,2022-10-12 12:00:00,0.0,0 to .0001 kg m-2 sec-1,36.80364418181818,> 35 C,1.9415807109090908,.1 to 5 m/s,0.0,0 to .1 m,2022-10-14 12:00:00,0.0,0 to .0001 kg m-2 sec-1,33.131164636363636,30 to 35 C,4.201864845454545,5 to 10 m/s,0.0,0 to .1 m,2022-10-16 12:00:00,0.0,0 to .0001 kg m-2 sec-1,32.67355672727273,25 to 30 C,5.296446781818182,5 to 10 m/s,0.0,0 to .1 m,2022-10-19 12:00:00,0.0,0 to .0001 kg m-2 sec-1,31.325669818181815,25 to 30 C,4.5066495363636365,5 to 10 m/s,0.0,0 to .1 m
