latitude,longitude,valid_time_0,t2m_0,si10_0,sde_0
22.05,60.0,2022-11-16,27.119415,4.552128,0.0
22.05,60.15,2022-11-16,27.444427,4.202128,0.0
22.05,60.3,2022-11-16,27.444427,4.1021276,0.0
22.05,60.45,2022-11-16,27.319427,3.9021277,0.0
22.05,60.6,2022-11-16,27.26941,3.7021277,0.0
22.05,60.75,2022-11-16,27.119415,3.6021278,0.0
22.05,60.9,2022-11-16,26.994415,3.5021276,0.0
22.05,61.05,2022-11-16,26.869415,3.4521277,0.0
22.05,61.2,2022-11-16,26.76941,3.4021277,0.0
22.05,61.35,2022-11-16,26.64441,3.2521276,0.0
22.05,61.5,2022-11-16,26.569427,3.1021278,0.0
22.05,61.65,2022-11-16,26.494415,3.0021276,0.0
22.05,61.8,2022-11-16,26.469421,2.8021278,0.0
22.05,61.95,2022-11-16,26.444427,2.6021278,0.0
22.05,62.1,2022-11-16,26.444427,2.4521277,0.0
22.05,62.25,2022-11-16,26.369415,2.3021278,0.0
22.05,62.4,2022-11-16,26.319427,2.1021278,0.0
22.05,62.55,2022-11-16,26.219421,1.8521278,0.0
22.05,62.7,2022-11-16,26.14441,1.6021278,0.0
22.05,62.85,2022-11-16,26.094421,1.2521278,0.0
22.05,63.0,2022-11-16,26.069427,0.95212775,0.0
22.05,63.15,2022-11-16,26.069427,0.65212774,0.0
22.05,63.3,2022-11-16,26.069427,0.40212777,0.0
22.05,63.45,2022-11-16,26.094421,0.20212775,0.0
22.05,63.6,2022-11-16,26.094421,0.15212776,0.0
22.05,63.75,2022-11-16,26.119415,0.30212775,0.0
22.05,63.9,2022-11-16,26.069427,0.50212777,0.0
22.05,64.05,2022-11-16,25.994415,0.70212775,0.0
22.05,64.2,2022-11-16,25.994415,0.8521278,0.0
22.05,64.35,2022-11-16,25.994415,0.95212775,0.0
22.05,64.5,2022-11-16,26.01941,1.1521277,0.0
22.05,64.65,2022-11-16,26.094421,1.3521278,0.0
22.05,64.8,2022-11-16,26.194427,1.6021278,0.0
22.05,64.95,2022-11-16,26.244415,1.7521278,0.0
22.05,65.1,2022-11-16,26.344421,1.8021277,0.0
22.05,65.25,2022-11-16,26.444427,1.8521278,0.0
22.05,65.4,2022-11-16,26.494415,2.0521278,0.0
22.05,65.55,2022-11-16,26.51941,2.2021277,0.0
22.05,65.7,2022-11-16,26.594421,2.5521278,0.0
22.05,65.85,2022-11-16,26.694427,2.9521277,0.0
22.05,66.0,2022-11-16,26.76941,3.3521278,0.0
22.05,66.15,2022-11-16,26.76941,3.5521278,0.0
22.05,66.3,2022-11-16,26.744415,3.6521277,0.0
22.05,66.45,2022-11-16,26.744415,3.7521276,0.0
22.05,66.6,2022-11-16,26.76941,3.8021278,0.0
22.05,66.75,2022-11-16,26.819427,3.8521278,0.0
22.05,66.9,2022-11-16,26.844421,3.9021277,0.0
22.05,67.05,2022-11-16,26.869415,4.0021276,0.0
22.05,67.2,2022-11-16,26.89441,4.1021276,0.0
22.05,67.35,2022-11-16,26.969421,4.302128,0.0
22.05,67.5,2022-11-16,27.01941,4.3521276,0.0
22.05,67.65,2022-11-16,27.094421,4.3521276,0.0
22.05,67.8,2022-11-16,27.094421,4.2521276,0.0
22.05,67.95,2022-11-16,27.14441,4.1021276,0.0
22.05,68.1,2022-11-16,27.194427,3.9521277,0.0
22.05,68.25,2022-11-16,27.219421,3.8021278,0.0
22.05,68.4,2022-11-16,27.244415,3.6521277,0.0
22.05,68.55,2022-11-16,27.244415,3.7021277,0.0
22.05,68.7,2022-11-16,27.094421,3.8521278,0.0
22.05,68.85,2022-11-16,26.51941,3.7521276,0.0
22.05,69.0,2022-11-16,25.39441,3.3021278,0.0
