latitude,longitude,valid_time_6,prate_6,t2m_6,si10_6,sde_6
22.05,60.0,2022-12-02 18:00:00,0.0,25.63916,1.6021676,0.0
22.05,60.15,2022-12-02 18:00:00,0.0,25.51416,1.4521676,0.0
22.05,60.3,2022-12-02 18:00:00,0.0,25.439178,1.3021675,0.0
22.05,60.45,2022-12-02 18:00:00,0.0,25.489166,1.1021676,0.0
22.05,60.6,2022-12-02 18:00:00,0.0,25.51416,0.8521676,0.0
22.05,60.75,2022-12-02 18:00:00,0.0,25.539154,0.6021676,0.0
22.05,60.9,2022-12-02 18:00:00,0.0,25.564178,0.3021676,0.0
22.05,61.05,2022-12-02 18:00:00,0.0,25.614166,0.10216759,0.0
22.05,61.2,2022-12-02 18:00:00,0.0,25.614166,0.3021676,0.0
22.05,61.35,2022-12-02 18:00:00,0.0,25.564178,0.5021676,0.0
22.05,61.5,2022-12-02 18:00:00,0.0,25.539154,0.7021676,0.0
22.05,61.65,2022-12-02 18:00:00,0.0,25.539154,0.9521676,0.0
22.05,61.8,2022-12-02 18:00:00,0.0,25.51416,1.1521676,0.0
22.05,61.95,2022-12-02 18:00:00,0.0,25.489166,1.3021675,0.0
22.05,62.1,2022-12-02 18:00:00,0.0,25.439178,1.4021676,0.0
22.05,62.25,2022-12-02 18:00:00,0.0,25.414154,1.5521675,0.0
22.05,62.4,2022-12-02 18:00:00,0.0,25.38916,1.6521676,0.0
22.05,62.55,2022-12-02 18:00:00,0.0,25.38916,1.8521676,0.0
22.05,62.7,2022-12-02 18:00:00,0.0,25.38916,2.0021677,0.0
22.05,62.85,2022-12-02 18:00:00,0.0,25.38916,2.1021676,0.0
22.05,63.0,2022-12-02 18:00:00,0.0,25.364166,2.2021675,0.0
22.05,63.15,2022-12-02 18:00:00,0.0,25.414154,2.2521677,0.0
22.05,63.3,2022-12-02 18:00:00,0.0,25.439178,2.2021675,0.0
22.05,63.45,2022-12-02 18:00:00,0.0,25.489166,2.1021676,0.0
22.05,63.6,2022-12-02 18:00:00,0.0,25.51416,2.0521677,0.0
22.05,63.75,2022-12-02 18:00:00,0.0,25.51416,2.0021677,0.0
22.05,63.9,2022-12-02 18:00:00,0.0,25.539154,1.9521676,0.0
22.05,64.05,2022-12-02 18:00:00,0.0,25.564178,1.9021676,0.0
22.05,64.2,2022-12-02 18:00:00,0.0,25.664154,1.8521676,0.0
22.05,64.35,2022-12-02 18:00:00,0.0,25.689178,1.8521676,0.0
22.05,64.5,2022-12-02 18:00:00,0.0,25.76416,1.8521676,0.0
22.05,64.65,2022-12-02 18:00:00,0.0,25.814178,1.8521676,0.0
22.05,64.8,2022-12-02 18:00:00,0.0,25.864166,1.9021676,0.0
22.05,64.95,2022-12-02 18:00:00,0.0,25.88916,2.0021677,0.0
22.05,65.1,2022-12-02 18:00:00,0.0,25.914154,2.1021676,0.0
22.05,65.25,2022-12-02 18:00:00,0.0,25.914154,2.2021675,0.0
22.05,65.4,2022-12-02 18:00:00,0.0,25.914154,2.4021676,0.0
22.05,65.55,2022-12-02 18:00:00,0.0,25.914154,2.5521677,0.0
22.05,65.7,2022-12-02 18:00:00,0.0,25.914154,2.7521677,0.0
22.05,65.85,2022-12-02 18:00:00,0.0,25.914154,2.9521675,0.0
22.05,66.0,2022-12-02 18:00:00,0.0,25.914154,3.1521676,0.0
22.05,66.15,2022-12-02 18:00:00,0.0,25.88916,3.3521676,0.0
22.05,66.3,2022-12-02 18:00:00,0.0,25.914154,3.4521675,0.0
22.05,66.45,2022-12-02 18:00:00,0.0,25.939178,3.5521677,0.0
22.05,66.6,2022-12-02 18:00:00,0.0,25.939178,3.4521675,0.0
22.05,66.75,2022-12-02 18:00:00,0.0,25.88916,3.4021676,0.0
22.05,66.9,2022-12-02 18:00:00,0.0,25.864166,3.3521676,0.0
22.05,67.05,2022-12-02 18:00:00,0.0,25.864166,3.4021676,0.0
22.05,67.2,2022-12-02 18:00:00,0.0,25.814178,3.6021676,0.0
22.05,67.35,2022-12-02 18:00:00,0.0,25.76416,3.7521677,0.0
22.05,67.5,2022-12-02 18:00:00,0.0,25.739166,3.8521676,0.0
22.05,67.65,2022-12-02 18:00:00,0.0,25.664154,3.8521676,0.0
22.05,67.8,2022-12-02 18:00:00,0.0,25.614166,3.8021677,0.0
22.05,67.95,2022-12-02 18:00:00,0.0,25.63916,3.7521677,0.0
22.05,68.1,2022-12-02 18:00:00,0.0,25.63916,3.7521677,0.0
22.05,68.25,2022-12-02 18:00:00,0.0,25.664154,3.7021675,0.0
22.05,68.4,2022-12-02 18:00:00,0.0,25.689178,3.7021675,0.0
22.05,68.55,2022-12-02 18:00:00,0.0,25.739166,3.7021675,0.0
22.05,68.7,2022-12-02 18:00:00,0.0,25.689178,3.7021675,0.0
22.05,68.85,2022-12-02 18:00:00,0.0,25.38916,3.6021676,0.0
22.05,69.0,2022-12-02 18:00:00,0.0,24.489166,3.2521677,0.0
22.05,69.15,2022-12-02 18:00:00,0.0,21.564178,2.2521677,0.0
22.05,69.3,2022-12-02 18:00:00,0.0,19.689178,1.6021676,0.0
22.05,69.45,2022-12-02 18:00:00,0.0,18.789154,1.0521675,0.0
22.05,69.6,2022-12-02 18:00:00,0.0,18.864166,0.7021676,0.0
22.05,69.75,2022-12-02 18:00:00,0.0,19.164154,0.7521676,0.0
22.05,69.9,2022-12-02 18:00:00,0.0,19.539154,1.0521675,0.0
22.05,70.05,2022-12-02 18:00:00,0.0,19.914154,1.3521676,0.0
22.05,70.2,2022-12-02 18:00:00,0.0,20.164154,1.8521676,0.0
22.05,70.35,2022-12-02 18:00:00,0.0,19.614166,1.9521676,0.0
22.05,70.5,2022-12-02 18:00:00,0.0,19.189178,1.4521676,0.0
22.05,70.65,2022-12-02 18:00:00,0.0,19.189178,0.7521676,0.0
22.05,70.8,2022-12-02 18:00:00,0.0,19.789154,0.9521676,0.0
22.05,70.95,2022-12-02 18:00:00,0.0,19.26416,1.2021676,0.0
22.05,71.1,2022-12-02 18:00:00,0.0,19.114166,1.0521675,0.0
22.05,71.25,2022-12-02 18:00:00,0.0,19.114166,0.6021676,0.0
22.05,71.4,2022-12-02 18:00:00,0.0,19.01416,0.7521676,0.0
22.05,71.55,2022-12-02 18:00:00,0.0,18.689178,0.9021676,0.0
22.05,71.7,2022-12-02 18:00:00,0.0,18.51416,1.2021676,0.0
22.05,71.85,2022-12-02 18:00:00,0.0,18.364166,1.3021675,0.0
22.05,72.0,2022-12-02 18:00:00,0.0,18.164154,1.2521676,0.0
22.05,72.15,2022-12-02 18:00:00,0.0,20.489166,1.8021675,0.0
22.05,72.3,2022-12-02 18:00:00,0.0,22.414154,2.9521675,0.0
22.05,72.45,2022-12-02 18:00:00,0.0,22.739166,3.6021676,0.0
22.05,72.6,2022-12-02 18:00:00,0.0,20.26416,3.0021677,0.0
22.05,72.75,2022-12-02 18:00:00,0.0,18.864166,2.7021675,0.0
22.05,72.9,2022-12-02 18:00:00,0.0,19.13916,2.7021675,0.0
22.05,73.05,2022-12-02 18:00:00,0.0,20.039154,2.5521677,0.0
22.05,73.2,2022-12-02 18:00:00,0.0,20.564178,1.9021676,0.0
22.05,73.35,2022-12-02 18:00:00,0.0,19.38916,1.7021676,0.0
22.05,73.5,2022-12-02 18:00:00,0.0,18.414154,1.6521676,0.0
22.05,73.65,2022-12-02 18:00:00,0.0,17.689178,1.6021676,0.0
22.05,73.8,2022-12-02 18:00:00,0.0,17.364166,1.5021676,0.0
22.05,73.95,2022-12-02 18:00:00,0.0,17.13916,1.4021676,0.0
22.05,74.1,2022-12-02 18:00:00,0.0,16.789154,1.5021676,0.0
22.05,74.25,2022-12-02 18:00:00,0.0,16.539154,1.4521676,0.0
22.05,74.4,2022-12-02 18:00:00,0.0,16.739166,1.1021676,0.0
22.05,74.55,2022-12-02 18:00:00,0.0,16.789154,1.0021676,0.0
22.05,74.7,2022-12-02 18:00:00,0.0,16.614166,1.1021676,0.0
22.05,74.85,2022-12-02 18:00:00,0.0,16.314178,1.0521675,0.0
22.05,75.0,2022-12-02 18:00:00,0.0,16.189178,0.8521676,0.0
22.05,75.15,2022-12-02 18:00:00,0.0,15.989166,0.8521676,0.0
22.05,75.3,2022-12-02 18:00:00,0.0,16.039154,0.7021676,0.0
22.05,75.45,2022-12-02 18:00:00,0.0,16.189178,0.6521676,0.0
22.05,75.6,2022-12-02 18:00:00,0.0,16.314178,0.8521676,0.0
22.05,75.75,2022-12-02 18:00:00,0.0,15.88916,0.9021676,0.0
22.05,75.9,2022-12-02 18:00:00,0.0,15.914154,0.7021676,0.0
22.2,60.0,2022-12-02 18:00:00,0.0,25.814178,1.6521676,0.0
22.2,60.15,2022-12-02 18:00:00,0.0,25.63916,1.5521675,0.0
22.2,60.3,2022-12-02 18:00:00,0.0,25.564178,1.4521676,0.0
22.2,60.45,2022-12-02 18:00:00,0.0,25.564178,1.3021675,0.0
22.2,60.6,2022-12-02 18:00:00,0.0,25.614166,1.1021676,0.0
22.2,60.75,2022-12-02 18:00:00,0.0,25.63916,0.8521676,0.0
22.2,60.9,2022-12-02 18:00:00,0.0,25.63916,0.5021676,0.0
22.2,61.05,2022-12-02 18:00:00,0.0,25.664154,0.3021676,0.0
22.2,61.2,2022-12-02 18:00:00,0.0,25.63916,0.3521676,0.0
22.2,61.35,2022-12-02 18:00:00,0.0,25.63916,0.5521676,0.0
22.2,61.5,2022-12-02 18:00:00,0.0,25.63916,0.7521676,0.0
22.2,61.65,2022-12-02 18:00:00,0.0,25.614166,0.9521676,0.0
22.2,61.8,2022-12-02 18:00:00,0.0,25.614166,1.1521676,0.0
22.2,61.95,2022-12-02 18:00:00,0.0,25.539154,1.3021675,0.0
22.2,62.1,2022-12-02 18:00:00,0.0,25.51416,1.4021676,0.0
22.2,62.25,2022-12-02 18:00:00,0.0,25.489166,1.5021676,0.0
22.2,62.4,2022-12-02 18:00:00,0.0,25.439178,1.6521676,0.0
22.2,62.55,2022-12-02 18:00:00,0.0,25.414154,1.8521676,0.0
22.2,62.7,2022-12-02 18:00:00,0.0,25.414154,2.0521677,0.0
22.2,62.85,2022-12-02 18:00:00,0.0,25.414154,2.2021675,0.0
22.2,63.0,2022-12-02 18:00:00,0.0,25.414154,2.3521676,0.0
22.2,63.15,2022-12-02 18:00:00,0.0,25.439178,2.4521675,0.0
22.2,63.3,2022-12-02 18:00:00,0.0,25.489166,2.5021677,0.0
22.2,63.45,2022-12-02 18:00:00,0.0,25.51416,2.5021677,0.0
22.2,63.6,2022-12-02 18:00:00,0.0,25.539154,2.4021676,0.0
22.2,63.75,2022-12-02 18:00:00,0.0,25.539154,2.3021677,0.0
22.2,63.9,2022-12-02 18:00:00,0.0,25.539154,2.2521677,0.0
22.2,64.05,2022-12-02 18:00:00,0.0,25.564178,2.2021675,0.0
22.2,64.2,2022-12-02 18:00:00,0.0,25.614166,2.1021676,0.0
22.2,64.35,2022-12-02 18:00:00,0.0,25.664154,2.0521677,0.0
22.2,64.5,2022-12-02 18:00:00,0.0,25.689178,2.0021677,0.0
22.2,64.65,2022-12-02 18:00:00,0.0,25.76416,1.9521676,0.0
22.2,64.8,2022-12-02 18:00:00,0.0,25.789154,1.9521676,0.0
22.2,64.95,2022-12-02 18:00:00,0.0,25.789154,1.9521676,0.0
22.2,65.1,2022-12-02 18:00:00,0.0,25.814178,2.0021677,0.0
22.2,65.25,2022-12-02 18:00:00,0.0,25.814178,2.1021676,0.0
22.2,65.4,2022-12-02 18:00:00,0.0,25.814178,2.2021675,0.0
22.2,65.55,2022-12-02 18:00:00,0.0,25.864166,2.4021676,0.0
22.2,65.7,2022-12-02 18:00:00,0.0,25.864166,2.6021676,0.0
22.2,65.85,2022-12-02 18:00:00,0.0,25.864166,2.7521677,0.0
22.2,66.0,2022-12-02 18:00:00,0.0,25.864166,2.9521675,0.0
22.2,66.15,2022-12-02 18:00:00,0.0,25.864166,3.1021676,0.0
22.2,66.3,2022-12-02 18:00:00,0.0,25.88916,3.3021677,0.0
22.2,66.45,2022-12-02 18:00:00,0.0,25.914154,3.4021676,0.0
