latitude,longitude,valid_time_168,prate_168,prate_168_binned,t2m_168,t2m_168_binned,si10_168,si10_168_binned,sde_168,sde_168_binned
22.05,60.0,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,25.995056,25 to 30 C,5.003215,5 to 10 m/s,0.0,0 to .1 m
22.05,60.15,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,26.545044,25 to 30 C,5.003215,5 to 10 m/s,0.0,0 to .1 m
22.05,60.3,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.02005,25 to 30 C,4.753215,.1 to 5 m/s,0.0,0 to .1 m
22.05,60.45,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.39505,25 to 30 C,4.4532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,60.6,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.620056,25 to 30 C,4.003215,.1 to 5 m/s,0.0,0 to .1 m
22.05,60.75,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.64505,25 to 30 C,3.5532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,60.9,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.620056,25 to 30 C,3.1032147,.1 to 5 m/s,0.0,0 to .1 m
22.05,61.05,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.570038,25 to 30 C,2.7032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,61.2,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.570038,25 to 30 C,2.4532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,61.35,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.52005,25 to 30 C,2.2032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,61.5,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.445038,25 to 30 C,1.9532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,61.65,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.39505,25 to 30 C,1.7532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,61.8,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.320038,25 to 30 C,1.6032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,61.95,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.245056,25 to 30 C,1.5532147,.1 to 5 m/s,0.0,0 to .1 m
22.05,62.1,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.170044,25 to 30 C,1.5032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,62.25,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.120056,25 to 30 C,1.5032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,62.4,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.070038,25 to 30 C,1.4032147,.1 to 5 m/s,0.0,0 to .1 m
22.05,62.55,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.14505,25 to 30 C,1.4032147,.1 to 5 m/s,0.0,0 to .1 m
22.05,62.7,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.245056,25 to 30 C,1.5032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,62.85,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.295044,25 to 30 C,1.5032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,63.0,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.320038,25 to 30 C,1.5532147,.1 to 5 m/s,0.0,0 to .1 m
22.05,63.15,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.27005,25 to 30 C,1.6032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,63.3,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.295044,25 to 30 C,1.7532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,63.45,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.320038,25 to 30 C,1.9532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,63.6,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.370056,25 to 30 C,2.2032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,63.75,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.370056,25 to 30 C,2.4532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,63.9,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.39505,25 to 30 C,2.7032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,64.05,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.445038,25 to 30 C,3.0032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,64.2,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.570038,25 to 30 C,3.3032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,64.35,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.620056,25 to 30 C,3.5532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,64.5,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.670044,25 to 30 C,3.8032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,64.65,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.77005,25 to 30 C,4.0532146,.1 to 5 m/s,0.0,0 to .1 m
22.05,64.8,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.89505,25 to 30 C,4.3032146,.1 to 5 m/s,0.0,0 to .1 m
22.05,64.95,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.945038,25 to 30 C,4.6532145,.1 to 5 m/s,0.0,0 to .1 m
22.05,65.1,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,27.995056,25 to 30 C,5.003215,5 to 10 m/s,0.0,0 to .1 m
22.05,65.25,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,28.045044,25 to 30 C,5.4032145,5 to 10 m/s,0.0,0 to .1 m
22.05,65.4,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,28.070038,25 to 30 C,5.8032146,5 to 10 m/s,0.0,0 to .1 m
22.05,65.55,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,28.170044,25 to 30 C,6.1532145,5 to 10 m/s,0.0,0 to .1 m
22.05,65.7,2022-10-18,0.0,0 to .0001 kg m-2 sec-1,28.27005,25 to 30 C,6.503215,5 to 10 m/s,0.0,0 to .1 m
