,latitude,longitude,valid_time_0,t2m_0,si10_0,sde_0,valid_time_3,prate_3,t2m_3,si10_3,sde_3,valid_time_6,prate_6,t2m_6,si10_6,sde_6,valid_time_9,prate_9,t2m_9,si10_9,sde_9,valid_time_12,prate_12,t2m_12,si10_12,sde_12,valid_time_15,prate_15,t2m_15,si10_15,sde_15,valid_time_18,prate_18,t2m_18,si10_18,sde_18,valid_time_21,prate_21,t2m_21,si10_21,sde_21,valid_time_24,prate_24,t2m_24,si10_24,sde_24,valid_time_36,prate_36,t2m_36,si10_36,sde_36,valid_time_48,prate_48,t2m_48,si10_48,sde_48,valid_time_60,prate_60,t2m_60,si10_60,sde_60,valid_time_72,prate_72,t2m_72,si10_72,sde_72,valid_time_120,prate_120,t2m_120,si10_120,sde_120,valid_time_168,prate_168,t2m_168,si10_168,sde_168,valid_time_240,prate_240,t2m_240,si10_240,sde_240
0,36.6,73.05,2023-01-08,-13.846222,0.5512998,0.56588,2023-01-08 03:00:00,6e-05,-14.297607,0.5001904,0.57088,2023-01-08 06:00:00,7e-05,-12.662628,0.65157026,0.574493,2023-01-08 09:00:00,0.00012,-11.829529,0.6010676,0.579818,2023-01-08 12:00:00,0.00014,-12.172119,0.5015368,0.586068,2023-01-08 15:00:00,4e-05,-12.388855,0.65188015,0.590606,2023-01-08 18:00:00,5e-05,-12.038727,0.65118486,0.595005,2023-01-08 21:00:00,7e-05,-12.565918,0.601178,0.600005,2023-01-09,0.0001,-13.157532,0.50155014,0.605005,2023-01-09 12:00:00,7e-05,-11.863037,0.6035469,0.619404,2023-01-10,1e-05,-16.925201,0.5523044,0.618291,2023-01-10 12:00:00,0.00011,-13.152405,0.8515624,0.624725,2023-01-11,9e-05,-14.167511,0.7028839,0.645885,2023-01-13,4e-05,-21.634445,0.3008441,0.673381,2023-01-15,1e-05,-27.323624,0.10325672,0.663794,2023-01-17 12:00:00,0.0,-23.039154,0.4022001,0.637122
0,36.75,73.5,2023-01-08,-15.02124,0.75129986,4.459769,2023-01-08 03:00:00,3e-05,-15.372589,0.70019037,4.46227,2023-01-08 06:00:00,3e-05,-12.662628,1.0015702,4.465208,2023-01-08 09:00:00,9e-05,-11.954529,1.2010676,4.465208,2023-01-08 12:00:00,0.00015,-12.747101,1.0015368,4.470646,2023-01-08 15:00:00,4e-05,-13.463867,0.9518801,4.474176,2023-01-08 18:00:00,8e-05,-13.288727,1.2011849,4.477114,2023-01-08 21:00:00,8e-05,-13.3909,1.151178,4.480052,2023-01-09,0.00011,-14.132538,0.9515501,4.48299,2023-01-09 12:00:00,5e-05,-12.713043,0.8535469,4.492398,2023-01-10,4e-05,-15.850189,1.2023044,4.499742,2023-01-10 12:00:00,0.00013,-14.002411,1.6015624,4.509588,2023-01-11,0.0001,-15.092499,1.3028839,4.528839,2023-01-13,4e-05,-20.40944,0.6758441,4.552498,2023-01-15,1e-05,-25.198624,0.15325671,4.559998,2023-01-17 12:00:00,0.0,-26.464157,0.3022001,4.547496
0,36.75,73.8,2023-01-08,-14.121246,1.0512998,8.23,2023-01-08 03:00:00,3e-05,-14.747589,0.95019037,8.23,2023-01-08 06:00:00,3e-05,-13.61261,1.3015703,8.23,2023-01-08 09:00:00,7e-05,-13.229523,1.3010676,8.232937,2023-01-08 12:00:00,0.00014,-13.647125,1.0515368,8.237937,2023-01-08 15:00:00,7e-05,-13.813873,1.0518801,8.240875,2023-01-08 18:00:00,0.0001,-13.463745,1.3511848,8.243814,2023-01-08 21:00:00,0.00011,-13.865906,1.251178,8.246752,2023-01-09,0.00013,-14.357544,1.1015501,8.251751,2023-01-09 12:00:00,8e-05,-13.538025,0.95354694,8.262626,2023-01-10,6e-05,-15.925201,1.4023044,8.27144,2023-01-10 12:00:00,9e-05,-15.202423,2.0515623,8.274379,2023-01-11,0.00011,-16.317505,1.452884,8.288192,2023-01-13,6e-05,-21.334442,0.6758441,8.331692,2023-01-15,1e-05,-26.098633,0.2532567,8.34963,2023-01-17 12:00:00,0.0,-31.239151,0.25220013,8.347568
0,36.75,73.65,2023-01-08,-15.02124,0.8512998,8.23,2023-01-08 03:00:00,2e-05,-15.397614,0.7501904,8.23,2023-01-08 06:00:00,2e-05,-13.262604,1.1515703,8.232204,2023-01-08 09:00:00,7e-05,-12.654541,1.3010676,8.232937,2023-01-08 12:00:00,0.00015,-13.397125,0.95153683,8.23639,2023-01-08 15:00:00,6e-05,-13.863861,0.9518801,8.240875,2023-01-08 18:00:00,0.0001,-13.363739,1.2011849,8.243814,2023-01-08 21:00:00,0.0001,-13.465912,1.151178,8.246752,2023-01-09,0.00013,-14.057526,0.9515501,8.250205,2023-01-09 12:00:00,5e-05,-12.888031,0.9035469,8.258877,2023-01-10,4e-05,-15.475189,1.3023044,8.265486,2023-01-10 12:00:00,0.0001,-14.552399,1.8015624,8.272175,2023-01-11,0.0001,-15.467499,1.3528839,8.285989,2023-01-13,5e-05,-20.65944,0.7008441,8.31538,2023-01-15,1e-05,-25.42363,0.20325671,8.329568,2023-01-17 12:00:00,0.0,-29.664154,0.35220012,8.329709
0,36.75,73.2,2023-01-08,-15.246246,0.70129985,0.689968,2023-01-08 03:00:00,4e-05,-15.622589,0.70019037,0.694967,2023-01-08 06:00:00,5e-05,-13.762604,0.90157026,0.697905,2023-01-08 09:00:00,9e-05,-12.679535,0.95106757,0.697905,2023-01-08 12:00:00,0.00011,-13.222107,0.8515368,0.705844,2023-01-08 15:00:00,2e-05,-13.563873,1.0018802,0.705844,2023-01-08 18:00:00,5e-05,-12.963745,1.1511849,0.708782,2023-01-08 21:00:00,7e-05,-13.115906,1.151178,0.711719,2023-01-09,9e-05,-13.632538,0.9515501,0.716719,2023-01-09 12:00:00,9e-05,-13.613037,0.75354695,0.725533,2023-01-10,2e-05,-16.750183,0.9023044,0.72847,2023-01-10 12:00:00,0.0001,-14.002411,1.2515624,0.734346,2023-01-11,7e-05,-15.317505,1.202884,0.748159,2023-01-13,4e-05,-22.28444,0.5508441,0.781661,2023-01-15,1e-05,-27.198624,0.10325672,0.784598,2023-01-17 12:00:00,0.0,-26.664154,0.20220011,0.761974
0,36.75,73.05,2023-01-08,-14.346222,0.6012998,0.494968,2023-01-08 03:00:00,3e-05,-14.572601,0.6001904,0.49842,2023-01-08 06:00:00,3e-05,-13.11261,0.7015703,0.500702,2023-01-08 09:00:00,7e-05,-11.954529,0.70106757,0.502905,2023-01-08 12:00:00,0.0001,-12.397125,0.70153683,0.50864,2023-01-08 15:00:00,1e-05,-12.513855,0.85188013,0.51239,2023-01-08 18:00:00,2e-05,-12.038727,1.0511849,0.513125,2023-01-08 21:00:00,7e-05,-12.565918,0.95117795,0.516062,2023-01-09,8e-05,-13.132538,0.80155015,0.521062,2023-01-09 12:00:00,6e-05,-12.588043,0.6535469,0.529219,2023-01-10,1e-05,-17.175186,0.7023044,0.529954,2023-01-10 12:00:00,4e-05,-13.602417,1.0515624,0.531421,2023-01-11,7e-05,-14.467499,0.85288393,0.542374,2023-01-13,3e-05,-21.78444,0.3758441,0.571936,2023-01-15,1e-05,-29.27362,0.20325671,0.56892,2023-01-17 12:00:00,0.0,-26.664154,0.35220012,0.561062
0,36.9,73.65,2023-01-08,-17.496231,0.50129986,6.524488,2023-01-08 03:00:00,0.0,-18.072601,0.35019037,6.524488,2023-01-08 06:00:00,0.0,-14.762604,0.45157027,6.524488,2023-01-08 09:00:00,0.0,-12.629547,0.70106757,6.524488,2023-01-08 12:00:00,4e-05,-14.522125,0.9015368,6.525168,2023-01-08 15:00:00,0.0,-15.863861,1.0018802,6.527213,2023-01-08 18:00:00,2e-05,-15.688751,0.95118487,6.527213,2023-01-08 21:00:00,1e-05,-15.7659,0.95117795,6.527213,2023-01-09,4e-05,-16.257538,0.6515501,6.527894,2023-01-09 12:00:00,1e-05,-13.938019,0.75354695,6.532894,2023-01-10,1e-05,-16.47519,0.8023044,6.532894,2023-01-10 12:00:00,1e-05,-14.302399,1.5015624,6.534938,2023-01-11,2e-05,-15.067505,1.2528839,6.53937,2023-01-13,3e-05,-20.15944,0.5508441,6.546182,2023-01-15,1e-05,-25.748627,0.3532567,6.556864,2023-01-17 12:00:00,0.0,-29.789154,0.15220012,6.552432
0,35.4,73.2,2023-01-08,-1.571228,0.25129983,1.339902,2023-01-08 03:00:00,3e-05,-1.5226135,0.25019038,1.340052,2023-01-08 06:00:00,7e-05,1.787384,0.30157027,1.340204,2023-01-08 09:00:00,0.00021,1.970459,0.35106757,1.345505,2023-01-08 12:00:00,0.00019,0.87789917,0.40153682,1.350957,2023-01-08 15:00:00,7e-05,0.26113892,0.5518801,1.356256,2023-01-08 18:00:00,4e-05,-0.21374512,0.40118486,1.356556,2023-01-08 21:00:00,0.00045,-0.61590576,0.40117797,1.361708,2023-01-09,0.00033,-0.55752563,0.35155013,1.372158,2023-01-09 12:00:00,0.0,0.611969,0.30354694,1.378208,2023-01-10,0.0,-3.400177,0.6023044,1.378806,2023-01-10 12:00:00,1e-05,0.5975952,0.35156238,1.373955,2023-01-11,0.0003,-0.6174927,0.5028839,1.409858,2023-01-13,5e-05,-5.9094543,0.4258441,1.445309,2023-01-15,0.0,-10.448639,0.6032567,1.449852,2023-01-17 12:00:00,0.0,-6.314148,0.55220014,1.41955
0,35.4,72.9,2023-01-08,-7.196228,0.30129984,0.54,2023-01-08 03:00:00,0.00016,-7.222595,0.05019038,0.547275,2023-01-08 06:00:00,0.00027,-4.662628,0.45157027,0.559551,2023-01-08 09:00:00,0.00043,-4.204529,0.6010676,0.581676,2023-01-08 12:00:00,0.00022,-4.747101,0.5015368,0.606376,2023-01-08 15:00:00,0.00014,-5.588867,0.5018801,0.616451,2023-01-08 18:00:00,0.0002,-6.238739,0.40118486,0.623951,2023-01-08 21:00:00,0.00053,-6.240906,0.50117797,0.641377,2023-01-09,0.00033,-6.70755,0.50155014,0.663726,2023-01-09 12:00:00,2e-05,-5.488037,0.40354693,0.688352,2023-01-10,0.0,-7.5751953,0.3523044,0.688426,2023-01-10 12:00:00,0.00016,-6.852417,0.50156236,0.676226,2023-01-11,0.00023,-6.917511,0.60288393,0.720922,2023-01-13,4e-05,-12.934448,0.3258441,0.75812,2023-01-15,1e-05,-18.098633,0.6032567,0.728423,2023-01-17 12:00:00,0.0,-12.414154,0.4522001,0.678424
0,35.4,73.05,2023-01-08,-4.02124,0.35129982,0.739902,2023-01-08 03:00:00,0.00016,-4.222595,0.20019038,0.747216,2023-01-08 06:00:00,0.00028,-2.0126038,0.45157027,0.758281,2023-01-08 09:00:00,0.00046,-1.7045288,0.5510676,0.78166,2023-01-08 12:00:00,0.00017,-2.1721191,0.40153682,0.805189,2023-01-08 15:00:00,9e-05,-2.888855,0.45188013,0.810376,2023-01-08 18:00:00,0.00011,-3.638733,0.25118485,0.8142,2023-01-08 21:00:00,0.00064,-3.8659058,0.351178,0.830378,2023-01-09,0.00042,-3.95755,0.35155013,0.855269,2023-01-09 12:00:00,0.0,-2.5630188,0.25354692,0.878947,2023-01-10,0.0,-5.350189,0.4523044,0.87932,2023-01-10 12:00:00,0.00022,-3.202423,0.30156237,0.870831,2023-01-11,0.00038,-4.217499,0.40288392,0.943225,2023-01-13,2e-05,-9.909454,0.2258441,0.989589,2023-01-15,1e-05,-13.573639,0.9032567,0.949918,2023-01-17 12:00:00,0.0,-9.989166,0.4022001,0.893589
